Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,Valor_anuncio_float,Valor_anuncio_milhoes,Preço por m²
"Rua Graham Bell, 332 ",Santo Amaro,São Paulo,772,7,7,6,R$ 2.700.000,2700000.0,2.7,3497.4093264248704
"Avenida Antônio Joaquim de Moura Andrade, 294 ",Vila Nova Conceição,São Paulo,605,3,3,4,R$ 4.190.000,4190000.0,4.19,6925.619834710744
"Rua Marcos Fernandes, 1039 ",Jardim da Saúde,São Paulo,110,3,2,5,R$ 860.000,860000.0,0.86,7818.181818181818
"Rua José Leão dos Santos, 606 ",Jardim Santo Antônio,São Paulo,250,4,4,4,R$ 650.000,650000.0,0.65,2600.0
"Rua Jaime Pinto Ferreira, 93 ",Vila Mazzei,São Paulo,120,2,1,1,R$ 490.000,490000.0,0.49,4083.3333333333335
Rua Aldo de Azevedo,Vila Madalena,São Paulo,170,2,2,1,R$ 1.485.000,1485000.0,1.485,8735.29411764706
"Rua Antônio Wey, 161 ",Jardim Ivana,São Paulo,250,3,1,5,R$ 650.000,650000.0,0.65,2600.0
"Rua João Francisco de Moura, 111 ",Vila Campo Grande,São Paulo,110,3,3,2,R$ 550.000,550000.0,0.55,5000.0
"Rua Serra de Botucatu, 993 ",Vila Gomes Cardim,São Paulo,120,3,2,2,R$ 1.100.000,1100000.0,1.1,9166.666666666666
"Rua Andrade Neves, 37 ",Bela Aliança,São Paulo,502,4,6,4,R$ 2.985.000,2985000.0,2.985,5946.215139442231
Rua Japeacaba,Vila Albertina,São Paulo,268,3,6,4,R$ 1.700.000,1700000.0,1.7,6343.2835820895525
Rua Senador Vergueiro,Santo Amaro,São Paulo,355,4,7,4,R$ 3.100.000,3100000.0,3.1,8732.394366197183
Rua dos Plátanos,Cidade Jardim,São Paulo,1195,4,4,6,R$ 8.700.000,8700000.0,8.7,7280.334728033473
,Parque da Lapa,São Paulo,220,4,4,3,R$ 849.000,849000.0,0.849,3859.090909090909
